Nome da empresa,Problemas_Empresa,Tipo_Nome_Empresa,Empresa_Padronizada,Qualidade_Padronizada
Combell,['OK'],Nome padrão,Combell,OK
ResearchGate,['OK'],Nome padrão,Researchgate,OK
Aryza,['OK'],Nome padrão,Aryza,OK
Eppione®,['Caracteres especiais'],Nome padrão,Eppione,OK
SSL247,"['Contém números', 'Tudo maiúsculo']",Com sufixo corporativo,SSL247,Tudo maiúsculo
Altran,['OK'],Nome padrão,Altran,OK
Orange Business Services,['OK'],Nome padrão,Orange Business Services,OK
Northern Data AG,['OK'],Com sufixo corporativo,Northern Data,OK
NRail - Information Technologies,['OK'],Nome padrão,Nrail - Information Technologies,OK
APC,['Tudo maiúsculo'],Muito curto,APC,Tudo maiúsculo
Greenergy Data Centers,['OK'],Nome padrão,Greenergy Data Centers,OK
Agilisys,['OK'],Nome padrão,Agilisys,OK
PwC,['OK'],Muito curto,Pwc,OK
NEUROHM,['Tudo maiúsculo'],Contém siglas,NEUROHM,Tudo maiúsculo
Intergral | FusionReactor APM,['Caracteres especiais'],Contém siglas,Intergral Fusionreactor APM,OK
Capita,['OK'],Nome padrão,Capita,OK
NOVUM-RGI,['Tudo maiúsculo'],Contém siglas,NOVUM-RGI,Tudo maiúsculo
NOVUM-RGI,['Tudo maiúsculo'],Contém siglas,NOVUM-RGI,Tudo maiúsculo
NOVUM-RGI,['Tudo maiúsculo'],Contém siglas,NOVUM-RGI,Tudo maiúsculo
tts - we empower people,['Tudo minúsculo'],Nome padrão,Tts - We Empower People,OK
tts - knowledge matters.,['Tudo minúsculo'],Nome padrão,Tts - Knowledge Matters,OK
tts - knowledge matters.,['Tudo minúsculo'],Nome padrão,Tts - Knowledge Matters,OK
Ajilon UK,['OK'],Contém siglas,Ajilon Uk,OK
CAULFIELD TRANSPORT LTD,['Tudo maiúsculo'],Contém siglas,CAULFIELD TRANSPORT LTD,Tudo maiúsculo
Guidance Technologies Ltd,['OK'],Com sufixo corporativo,Guidance Technologies,OK
Sopra Banking Software,['OK'],Nome padrão,Sopra Banking Software,OK
Layer Data Consulting,['OK'],Nome padrão,Layer Datansulting,OK
GRAITEC GROUP,['Tudo maiúsculo'],Contém siglas,GRAITEC GROUP,Tudo maiúsculo
AID Add Intelligence to data - Data Agency,['OK'],Contém siglas,AID Add Intelligence To Data - Data Agency,OK
Johnson & Johnson,['OK'],Nome padrão,Johnson & Johnson,OK
Kimcell Ltd,['OK'],Com sufixo corporativo,Kimcell,OK
Kisio Digital,['OK'],Nome padrão,Kisio Digital,OK
Statista,['OK'],Nome padrão,Statista,OK
cleverbridge,['Tudo minúsculo'],Nome padrão,Cleverbridge,OK
cleverbridge,['Tudo minúsculo'],Nome padrão,Cleverbridge,OK
comparethemarket.com,['Tudo minúsculo'],Nome padrão,ComparethemarketCom,OK
AKG Civil Solutions GmbH,['OK'],Com sufixo corporativo,AKG Civil Solutions,OK
Cartier,['OK'],Nome padrão,Cartier,OK
MenuSpring,['OK'],Nome padrão,Menuspring,OK
Capita Business Services,['OK'],Nome padrão,Capita Business Services,OK
IDEMIA,['Tudo maiúsculo'],Contém siglas,IDEMIA,Tudo maiúsculo
Capita,['OK'],Nome padrão,Capita,OK
Thalia Bücher GmbH,['OK'],Com sufixo corporativo,Thalia Bücher,OK
EY,['Tudo maiúsculo'],Muito curto,Ey (abreviado),OK
Bridgehead Pharmalicensing Group Ltd,['OK'],Com sufixo corporativo,Bridgehead Pharmalicensing Group,OK
CoreMedia,['OK'],Nome padrão,Coremedia,OK
UBH Software & Engineering GmbH,['OK'],Com sufixo corporativo,UBH Software & Engineering,OK
S&K Solutions GmbH,['OK'],Com sufixo corporativo,S&K Solutions,OK
AI&DATA,['Tudo maiúsculo'],Contém siglas,AI&DATA,Tudo maiúsculo
Birdz,['OK'],Nome padrão,Birdz,OK
Birdz,['OK'],Nome padrão,Birdz,OK
AI&DATA,['Tudo maiúsculo'],Contém siglas,AI&DATA,Tudo maiúsculo
AI&DATA,['Tudo maiúsculo'],Contém siglas,AI&DATA,Tudo maiúsculo
Devoteam Data Driven,['OK'],Nome padrão,Devoteam Data Driven,OK
Kisio Digital,['OK'],Nome padrão,Kisio Digital,OK
Nomination.fr,['OK'],Nome padrão,NominationFr,OK
Nomination.fr,['OK'],Nome padrão,NominationFr,OK
Nomination.fr,['OK'],Nome padrão,NominationFr,OK
Brongle,['OK'],Nome padrão,Brongle,OK
Energy Net GmbH,['OK'],Com sufixo corporativo,Energy Net,OK
VIDAL grop,['OK'],Contém siglas,VIDAL Grop,OK
SPORTTOTAL TECHNOLOGY GmbH,['OK'],Com sufixo corporativo,SPORTTOTAL TECHNOLOGY,Tudo maiúsculo
Techem,['OK'],Nome padrão,Techem,OK
Infobip,['OK'],Nome padrão,Infobip,OK
FluidStack,['OK'],Nome padrão,Fluidstack,OK
GSD Remarketing GmbH & Co. KG,['OK'],Com sufixo corporativo,GSD Remarketing & Kg,OK
nextevolution GmbH,['OK'],Com sufixo corporativo,Nextevolution,OK
nextevolution GmbH,['OK'],Com sufixo corporativo,Nextevolution,OK
Scopeland Technology,['OK'],Nome padrão,Scopeland Technology,OK
Code Red.,['OK'],Nome padrão,Code Red,OK
basecom,['Tudo minúsculo'],Nome padrão,Basecom,OK
billwerk,['Tudo minúsculo'],Nome padrão,Billwerk,OK
Devexperts,['OK'],Nome padrão,Devexperts,OK
cleverbridge,['Tudo minúsculo'],Nome padrão,Cleverbridge,OK
cleverbridge,['Tudo minúsculo'],Nome padrão,Cleverbridge,OK
cleverbridge,['Tudo minúsculo'],Nome padrão,Cleverbridge,OK
ista,['Tudo minúsculo'],Muito curto,Ista,OK
Civica,['OK'],Nome padrão,Civica,OK
Star,['OK'],Muito curto,Star,OK
Oberthur Technologies,['OK'],Nome padrão,Oberthur Technologies,OK
Orange Business Services,['OK'],Nome padrão,Orange Business Services,OK
WEKO,['Tudo maiúsculo'],Muito curto,WEKO,Tudo maiúsculo
Playtech,['OK'],Nome padrão,Playtech,OK
PSI Software,['OK'],Contém siglas,PSI Software,OK
Winnow,['OK'],Nome padrão,Winnow,OK
Inherrit,['OK'],Nome padrão,Inherrit,OK
monkinet.io,['Tudo minúsculo'],Nome padrão,MonkinetIo,OK
Sopra HR Software España,['OK'],Contém siglas,Sopra Hr Software España,OK
PROXIAD,['Tudo maiúsculo'],Contém siglas,PROXIAD,Tudo maiúsculo
Playtech,['OK'],Nome padrão,Playtech,OK
Playtech,['OK'],Nome padrão,Playtech,OK
Hove,['OK'],Muito curto,Hove,OK
gofeminin.de GmbH,['OK'],Com sufixo corporativo,GofemininDe,OK
Compare the Market,['OK'],Nome padrão,Compare The Market,OK
Orange Business Services,['OK'],Nome padrão,Orange Business Services,OK
Eucon Group,['OK'],Nome padrão,Eucon Group,OK
TIMETOACT GROUP,['Tudo maiúsculo'],Contém siglas,TIMETOACT GROUP,Tudo maiúsculo
Software Development Company,['OK'],Nome padrão,Software Developmentmpany,OK
PricewaterhouseCoopers,['OK'],Nome padrão,Pricewaterhousecoopers,OK
Atos,['OK'],Muito curto,Atos,OK
Hypoport SE,['OK'],Contém siglas,Hypoport Se,OK
Outpayce from Amadeus,['OK'],Nome padrão,Outpayce From Amadeus,OK
ION,['Tudo maiúsculo'],Muito curto,ION,Tudo maiúsculo
Adaptavist,['OK'],Nome padrão,Adaptavist,OK
Adaptavist,['OK'],Nome padrão,Adaptavist,OK
GlobalLogic UK&I,['OK'],Contém siglas,Globallogic UK&I,OK
NTT Ltd.,['OK'],Com sufixo corporativo,NTT,Tudo maiúsculo
Onventis GmbH,['OK'],Com sufixo corporativo,Onventis,OK
Onventis,['OK'],Nome padrão,Onventis,OK
Gurtam,['OK'],Nome padrão,Gurtam,OK
Gurtam,['OK'],Nome padrão,Gurtam,OK
Gurtam,['OK'],Nome padrão,Gurtam,OK
Fresh8 Gaming,['Contém números'],Nome padrão,Fresh8 Gaming,Contém números
Forbis,['OK'],Nome padrão,Forbis,OK
Nechi Group,['OK'],Nome padrão,Nechi Group,OK
kollex,['Tudo minúsculo'],Nome padrão,Kollex,OK
Capita,['OK'],Nome padrão,Capita,OK
AI&DATA,['Tudo maiúsculo'],Contém siglas,AI&DATA,Tudo maiúsculo
Eucon GmbH,['OK'],Com sufixo corporativo,Eucon,OK
INFORM GmbH - Optimization Software,['OK'],Com sufixo corporativo,INFORM - Optimization Software,OK
ORAYLIS GmbH Business Intelligence,['OK'],Com sufixo corporativo,ORAYLIS Business Intelligence,OK
EDUdigital Educação e Tecnologias,['OK'],Nome padrão,Edudigital Educação E Tecnologias,OK
PricewaterhouseCoopers,['OK'],Nome padrão,Pricewaterhousecoopers,OK
BOXIA,['Tudo maiúsculo'],Contém siglas,BOXIA,Tudo maiúsculo
Fleets International Enterprises GmbH,['OK'],Com sufixo corporativo,Fleets International Enterprises,OK
iObeya,['OK'],Nome padrão,Iobeya,OK
abat+ GmbH,['Caracteres especiais'],Com sufixo corporativo,Abat,OK
VAPS GmbH,['OK'],Com sufixo corporativo,VAPS,Tudo maiúsculo
MediaInterface GmbH,['OK'],Com sufixo corporativo,Mediainterface,OK
Capita,['OK'],Nome padrão,Capita,OK
TechWisely Ltd,['OK'],Com sufixo corporativo,Techwisely,OK
Cartrack Portugal,['OK'],Nome padrão,Cartrack Portugal,OK
Carvivo,['OK'],Nome padrão,Carvivo,OK
GeneaNet,['OK'],Nome padrão,Geneanet,OK
NOVENTI Health SE,['OK'],Contém siglas,NOVENTI Health Se,OK
Toshiba Europe Ltd,['OK'],Com sufixo corporativo,Toshiba Europe,OK
ELEKS,['Tudo maiúsculo'],Contém siglas,ELEKS,Tudo maiúsculo
INTREXX GmbH,['OK'],Com sufixo corporativo,INTREXX,Tudo maiúsculo
Fintech Company,['OK'],Nome padrão,Fintechmpany,OK
nextevolution GmbH,['OK'],Com sufixo corporativo,Nextevolution,OK
1st solution consulting gmbh,"['Contém números', 'Tudo minúsculo']",Nome padrão,1St Solution Consulting Gmbh,Contém números
admeritia GmbH,['OK'],Com sufixo corporativo,Admeritia,OK
admeritia GmbH,['OK'],Com sufixo corporativo,Admeritia,OK
Infomil,['OK'],Nome padrão,Infomil,OK
Akeneo,['OK'],Nome padrão,Akeneo,OK
Future Processing Sp. z o.o.,['OK'],Nome padrão,Future Processing Sp Z OO,OK
Capita,['OK'],Nome padrão,Capita,OK
Informatique CDC,['OK'],Contém siglas,Informatique CDC,OK
MEETYOO,['Tudo maiúsculo'],Contém siglas,MEETYOO,Tudo maiúsculo
WSP in the UK,['OK'],Contém siglas,WSP In The Uk,OK
eBilet Polska,['OK'],Nome padrão,Ebilet Polska,OK
Value Governance Research,['OK'],Nome padrão,Value Governance Research,OK
Quantum Mads,['OK'],Nome padrão,Quantum Mads,OK
flexis AG Supply Chain Solutions,['OK'],Com sufixo corporativo,Flexis Supply Chain Solutions,OK
flexis AG,['OK'],Com sufixo corporativo,Flexis,OK
Cognodata,['OK'],Nome padrão,Cognodata,OK
TACTECH New Media,['OK'],Contém siglas,TACTECH New Media,OK
Jedox,['OK'],Nome padrão,Jedox,OK
Civica,['OK'],Nome padrão,Civica,OK
CLOWD9,"['Contém números', 'Tudo maiúsculo']",Nome padrão,CLOWD9,Tudo maiúsculo
mikadolabs.,['Tudo minúsculo'],Nome padrão,Mikadolabs,OK
Telecentras,['OK'],Nome padrão,Telecentras,OK
MagicBeans,['OK'],Nome padrão,Magicbeans,OK
TAP.DE Solutions GmbH,['OK'],Com sufixo corporativo,TAPDE Solutions,OK
Strix DE,['OK'],Contém siglas,Strix De,OK
PSW GROUP,['Tudo maiúsculo'],Contém siglas,PSW GROUP,Tudo maiúsculo
PSW GROUP Consulting GmbH & Co. KG,['OK'],Com sufixo corporativo,PSW Groupnsulting & Kg,OK
Appsfactory,['OK'],Nome padrão,Appsfactory,OK
Sopra Steria,['OK'],Nome padrão,Sopra Steria,OK
Kpler,['OK'],Nome padrão,Kpler,OK
eos.uptrade,['Tudo minúsculo'],Nome padrão,EosUptrade,OK
Digitup Company,['OK'],Nome padrão,Digitupmpany,OK
Anexia Consultoría,['OK'],Nome padrão,Anexiansultoría,OK
wunderbit GmbH & Co. KG,['OK'],Com sufixo corporativo,Wunderbit & Kg,OK
dibuco - The Digital Business Company,['OK'],Nome padrão,Dibuco - The Digital Businessmpany,OK
aixigo AG,['OK'],Com sufixo corporativo,Aixigo,OK
"Fluid-e, supply chain orchestration",['OK'],Nome padrão,Fluid-E Supply Chain Orchestration,OK
Deepki,['OK'],Nome padrão,Deepki,OK
SATEC,['Tudo maiúsculo'],Com sufixo corporativo,SATEC,Tudo maiúsculo
Exclusive Networks España,['OK'],Nome padrão,Exclusive Networks España,OK
comparethemarket.com,['Tudo minúsculo'],Nome padrão,ComparethemarketCom,OK
Electoral Reform Services,['OK'],Nome padrão,Electoral Reform Services,OK
VAKT Global Ltd,['OK'],Com sufixo corporativo,VAKT Global,OK
microtech GmbH,['OK'],Com sufixo corporativo,Microtech,OK
MEDIFOX DAN,['Tudo maiúsculo'],Contém siglas,MEDIFOX DAN,Tudo maiúsculo
OPEN MIND SYSTEMS,['Tudo maiúsculo'],Contém siglas,OPEN MIND SYSTEMS,Tudo maiúsculo
Parkopedia,['OK'],Nome padrão,Parkopedia,OK
Cdiscount,['OK'],Nome padrão,Cdiscount,OK
CTAIMA,['Tudo maiúsculo'],Contém siglas,CTAIMA,Tudo maiúsculo
NTT DATA Europe & Latam,['OK'],Contém siglas,NTT DATA Europe & Latam,OK
NTT DATA Europe & Latam,['OK'],Contém siglas,NTT DATA Europe & Latam,OK
Playtech,['OK'],Nome padrão,Playtech,OK
Playtech,['OK'],Nome padrão,Playtech,OK
Jobandtalent,['OK'],Nome padrão,Jobandtalent,OK
IGEL Technology,['OK'],Contém siglas,IGEL Technology,OK
vente-privee devient Veepee,['OK'],Nome padrão,Vente-Privee Devient Veepee,OK
vente-privee devient Veepee,['OK'],Nome padrão,Vente-Privee Devient Veepee,OK
vente-privee devient Veepee,['OK'],Nome padrão,Vente-Privee Devient Veepee,OK
vente-privee devient Veepee,['OK'],Nome padrão,Vente-Privee Devient Veepee,OK
Atos,['OK'],Muito curto,Atos,OK
Smals,['OK'],Nome padrão,Smals,OK
TRAFI,['Tudo maiúsculo'],Contém siglas,Trafi,OK
Atos International,['OK'],Nome padrão,Atos International,OK
Trafi,['OK'],Nome padrão,Trafi,OK
TORUS ACTIONS,['Tudo maiúsculo'],Contém siglas,TORUS ACTIONS,Tudo maiúsculo
OVHcloud,['OK'],Nome padrão,Ovhcloud,OK
MedicalSyn GmbH,['OK'],Com sufixo corporativo,Medicalsyn,OK
Bleenco,['OK'],Nome padrão,Bleenco,OK
LANDYTECH,['Tudo maiúsculo'],Contém siglas,LANDYTECH,Tudo maiúsculo
Privalia,['OK'],Nome padrão,Privalia,OK
Privalia,['OK'],Nome padrão,Privalia,OK
Plantix,['OK'],Nome padrão,Plantix,OK
RCA,['Tudo maiúsculo'],Muito curto,RCA,Tudo maiúsculo
Bosch,['OK'],Nome padrão,Bosch,OK
Freetrade,['OK'],Nome padrão,Freetrade,OK
Upscaler,['OK'],Nome padrão,Upscaler,OK
Mail Metrics,['OK'],Nome padrão,Mail Metrics,OK
Veepee,['OK'],Nome padrão,Veepee,OK
Veepee,['OK'],Nome padrão,Veepee,OK
Kapernikov,['OK'],Nome padrão,Kapernikov,OK
Telemedicine Technologies,['OK'],Nome padrão,Telemedicine Technologies,OK
Quinten,['OK'],Nome padrão,Quinten,OK
Ricoh UK,['OK'],Contém siglas,Ricoh Uk,OK
Numbr Paris (ex Novaa Expertise & Incityz),['OK'],Com sufixo corporativo,Numbr Paris Ex Novaa Expertise &Ityz,OK
Niji,['OK'],Muito curto,Niji,OK
Telemedicine Technologies Belgium,['OK'],Nome padrão,Telemedicine Technologies Belgium,OK
Business & Decision,['OK'],Nome padrão,Business & Decision,OK
SYSTKOM GmbH,['OK'],Com sufixo corporativo,SYSTKOM,Tudo maiúsculo
Housing Partners Ltd,['OK'],Com sufixo corporativo,Housing Partners,OK
Housing Partners Ltd,['OK'],Com sufixo corporativo,Housing Partners,OK
Business & Decision Group,['OK'],Nome padrão,Business & Decision Group,OK
Qredo,['OK'],Nome padrão,Qredo,OK
Epiconcept company : Epidemiology - e-Health - Data science,['Caracteres especiais'],Nome padrão,Epiconcept Company Epidemiology - E-Health - Data Science,OK
Median Technologies,['OK'],Nome padrão,Median Technologies,OK
Waysia (ex Alorsfaim),['OK'],Nome padrão,Waysia Ex Alorsfaim,OK
Waysia (ex Alorsfaim),['OK'],Nome padrão,Waysia Ex Alorsfaim,OK
ALORSFAIM,['Tudo maiúsculo'],Contém siglas,ALORSFAIM,Tudo maiúsculo
Groupe IDAIA,['OK'],Contém siglas,Groupe IDAIA,OK
BOCASAY,['Tudo maiúsculo'],Com sufixo corporativo,BOCASAY,Tudo maiúsculo
dxFeed,['OK'],Nome padrão,Dxfeed,OK
Grupo Oesía,['OK'],Nome padrão,Grupo Oesía,OK
GoCardless,['OK'],Nome padrão,Gocardless,OK
Kommunaler Versorgungsverband Brandenburg,['OK'],Nome padrão,Kommunaler Versorgungsverband Brandenburg,OK
Regnology,['OK'],Nome padrão,Regnology,OK
encoway GmbH,['OK'],Com sufixo corporativo,Encoway,OK
Veepee,['OK'],Nome padrão,Veepee,OK
Reiz Tech,['OK'],Nome padrão,Reiz Tech,OK
Reiz Tech,['OK'],Nome padrão,Reiz Tech,OK
IGT,['Tudo maiúsculo'],Muito curto,IGT,Tudo maiúsculo
Digital Catapult,['OK'],Nome padrão,Digital Catapult,OK
Omniga GmbH & Co. KG,['OK'],Com sufixo corporativo,Omniga & Kg,OK
Omniga GmbH & Co. KG,['OK'],Com sufixo corporativo,Omniga & Kg,OK
Fintegry,['OK'],Nome padrão,Fintegry,OK
eVergabe.de GmbH,['OK'],Com sufixo corporativo,EvergabeDe,OK
CYBERDYNE IT GmbH,['OK'],Com sufixo corporativo,CYBERDYNE It,OK
Porism,['OK'],Nome padrão,Porism,OK
REAKTO Polska,['OK'],Contém siglas,REAKTO Polska,OK
Bosch,['OK'],Nome padrão,Bosch,OK
3U TELECOM GmbH,['Contém números'],Com sufixo corporativo,3U TELECOM,Tudo maiúsculo
Impetus Unternehmensberatung GmbH,['OK'],Com sufixo corporativo,Impetus Unternehmensberatung,OK
International Game Technology,['OK'],Nome padrão,International Game Technology,OK
Centili,['OK'],Nome padrão,Centili,OK
LifeFlow,['OK'],Nome padrão,Lifeflow,OK
LifeFlow,['OK'],Nome padrão,Lifeflow,OK
Converteo,['OK'],Nome padrão,Converteo,OK
Converteo,['OK'],Nome padrão,Converteo,OK
FULLSOON,['Tudo maiúsculo'],Contém siglas,FULLSOON,Tudo maiúsculo
KPC - KEY PERFORMANCE CONSULTING,['Tudo maiúsculo'],Contém siglas,KPC - KEY PERFORMANCE CONSULTING,Tudo maiúsculo
Groupe IDAIA,['OK'],Contém siglas,Groupe IDAIA,OK
KPC - KEY PERFORMANCE CONSULTING,['Tudo maiúsculo'],Contém siglas,KPC - KEY PERFORMANCE CONSULTING,Tudo maiúsculo
Innopublica,['OK'],Nome padrão,Innopublica,OK
Autenti,['OK'],Nome padrão,Autenti,OK
MakoLab,['OK'],Nome padrão,Makolab,OK
autoRetouch,['OK'],Nome padrão,Autoretouch,OK
L'Empreinte®,['Caracteres especiais'],Nome padrão,LEmpreinte,OK
SaebaWeb,['OK'],Nome padrão,Saebaweb,OK
centron GmbH,['OK'],Com sufixo corporativo,Centron,OK
centron GmbH,['OK'],Com sufixo corporativo,Centron,OK
Energy Brainpool GmbH & Co. KG,['OK'],Com sufixo corporativo,Energy Brainpool & Kg,OK
Energy Brainpool GmbH & Co. KG,['OK'],Com sufixo corporativo,Energy Brainpool & Kg,OK
IKOR GmbH,['OK'],Com sufixo corporativo,IKOR,Tudo maiúsculo
IKOR GmbH,['OK'],Com sufixo corporativo,IKOR,Tudo maiúsculo
DOUBLETRADE,['Tudo maiúsculo'],Contém siglas,DOUBLETRADE,Tudo maiúsculo
Schüttflix,['OK'],Nome padrão,Schüttflix,OK
Schüttflix,['OK'],Nome padrão,Schüttflix,OK
Extra Horizon,['OK'],Nome padrão,Extra Horizon,OK
PROSPER X GmbH,['OK'],Com sufixo corporativo,PROSPER X,Tudo maiúsculo
diva-e Digital Value Excellence GmbH,['OK'],Com sufixo corporativo,Diva-E Digital Value Excellence,OK
Veepee,['OK'],Nome padrão,Veepee,OK
CDS UK,['Tudo maiúsculo'],Contém siglas,CDS Uk,OK
SoftDent,['OK'],Nome padrão,Softdent,OK
DILUZ,['Tudo maiúsculo'],Contém siglas,DILUZ,Tudo maiúsculo
PST.AG,['Tudo maiúsculo'],Com sufixo corporativo,PST,Tudo maiúsculo
HLB International,['OK'],Contém siglas,HLB International,OK
Foundry,['OK'],Nome padrão,Foundry,OK
yechte,['Tudo minúsculo'],Nome padrão,Yechte,OK
yechte,['Tudo minúsculo'],Nome padrão,Yechte,OK
iObeya,['OK'],Nome padrão,Iobeya,OK
iObeya,['OK'],Nome padrão,Iobeya,OK
Astara Western Europe,['OK'],Nome padrão,Astara Western Europe,OK
Institute of Cosmos Sciences (ICCUB),['OK'],Contém siglas,Institute Ofsmos Sciences ICCUB,OK
Fischer Information Technology AG,['OK'],Com sufixo corporativo,Fischer Information Technology,OK
NORRIQ Financial Services,['OK'],Contém siglas,NORRIQ Financial Services,OK
Lemongrass Consulting Ltd,['OK'],Com sufixo corporativo,Lemongrassnsulting,OK
Lemongrass Consulting Ltd,['OK'],Com sufixo corporativo,Lemongrassnsulting,OK
Läkkerai,['OK'],Nome padrão,Läkkerai,OK
ACCELERAID,['Tudo maiúsculo'],Contém siglas,ACCELERAID,Tudo maiúsculo
1st solution consulting gmbh,"['Contém números', 'Tudo minúsculo']",Nome padrão,1St Solution Consulting Gmbh,Contém números
Eurofins Food Assurance,['OK'],Nome padrão,Eurofins Food Assurance,OK
T-Systems International,['OK'],Nome padrão,T-Systems International,OK
tridion digital solutions GmbH,['OK'],Com sufixo corporativo,Tridion Digital Solutions,OK
STUDIA,['Tudo maiúsculo'],Contém siglas,STUDIA,Tudo maiúsculo
STUDIA,['Tudo maiúsculo'],Contém siglas,STUDIA,Tudo maiúsculo
Serimag,['OK'],Nome padrão,Serimag,OK
Serimag,['OK'],Nome padrão,Serimag,OK
prodot - Software für Marktführer,['OK'],Nome padrão,Prodot - Software Für Marktführer,OK
prodot - Software für Marktführer,['OK'],Nome padrão,Prodot - Software Für Marktführer,OK
etracker GmbH,['OK'],Com sufixo corporativo,Etracker,OK
sales-i,['Tudo minúsculo'],Nome padrão,Sales-I,OK
TwinRed,['OK'],Nome padrão,Twinred,OK
TwinRed,['OK'],Nome padrão,Twinred,OK
TwinRed,['OK'],Nome padrão,Twinred,OK
TwinRed,['OK'],Nome padrão,Twinred,OK
financial.com,['Tudo minúsculo'],Nome padrão,FinancialCom,OK
Capably,['OK'],Nome padrão,Capably,OK
IGT,['Tudo maiúsculo'],Muito curto,IGT,Tudo maiúsculo
IGT,['Tudo maiúsculo'],Muito curto,IGT,Tudo maiúsculo
PrediSurge,['OK'],Nome padrão,Predisurge,OK
PrediSurge,['OK'],Nome padrão,Predisurge,OK
Implico Group,['OK'],Nome padrão,Implico Group,OK
DOCARET,['Tudo maiúsculo'],Contém siglas,DOCARET,Tudo maiúsculo
Splyt,['OK'],Nome padrão,Splyt,OK
Splyt,['OK'],Nome padrão,Splyt,OK
MGS - Marque Group Solutions,['OK'],Contém siglas,MGS - Marque Group Solutions,OK
Greyparrot,['OK'],Nome padrão,Greyparrot,OK
audimex GmbH,['OK'],Com sufixo corporativo,Audimex,OK
audimex GmbH,['OK'],Com sufixo corporativo,Audimex,OK
SYNAXON,['Tudo maiúsculo'],Contém siglas,SYNAXON,Tudo maiúsculo
Yeme Tech,['OK'],Nome padrão,Yeme Tech,OK
Tungsten Network,['OK'],Nome padrão,Tungsten Network,OK
Saros Consulting,['OK'],Nome padrão,Sarosnsulting,OK
MODAMUSE,['Tudo maiúsculo'],Contém siglas,MODAMUSE,Tudo maiúsculo
epruf s.a.,['Tudo minúsculo'],Nome padrão,Epruf SA,OK
Telemedicine Technologies,['OK'],Nome padrão,Telemedicine Technologies,OK
Alteia,['OK'],Nome padrão,Alteia,OK
INOVEPIC GmbH,['OK'],Com sufixo corporativo,INOVEPIC,Tudo maiúsculo
BeDisruptive,['OK'],Nome padrão,Bedisruptive,OK
inovex GmbH,['OK'],Com sufixo corporativo,Inovex,OK
Uniserv | Customer Data Experts,['Caracteres especiais'],Nome padrão,Uniserv Customer Data Experts,OK
AUCOTEC,['Tudo maiúsculo'],Contém siglas,AUCOTEC,Tudo maiúsculo
Tebis Technische Informationssysteme AG,['OK'],Com sufixo corporativo,Tebis Technische Informationssysteme,OK
PeakAvenue GmbH,['OK'],Com sufixo corporativo,Peakavenue,OK
DOXENSE,['Tudo maiúsculo'],Contém siglas,DOXENSE,Tudo maiúsculo
uqudo,['Tudo minúsculo'],Nome padrão,Uqudo,OK
ju:niz,"['Caracteres especiais', 'Tudo minúsculo']",Nome padrão,JuNiz,OK
SHAPEiN Solutions,['OK'],Nome padrão,Shapein Solutions,OK
WorkSimple GmbH,['OK'],Com sufixo corporativo,Worksimple,OK
eHealth-Connect GmbH,['OK'],Com sufixo corporativo,Ehealth-Connect,OK
Cybernetica,['OK'],Nome padrão,Cybernetica,OK
Rapyd,['OK'],Nome padrão,Rapyd,OK
dreamIT GmbH,['OK'],Com sufixo corporativo,Dreamit,OK
evosoft,['Tudo minúsculo'],Nome padrão,Evosoft,OK
RIB Software,['OK'],Contém siglas,RIB Software,OK
RIB SAA Software Engineering GmbH,['OK'],Com sufixo corporativo,RIBA Software Engineering,OK
RIB SAA Software Engineering GmbH,['OK'],Com sufixo corporativo,RIBA Software Engineering,OK
Persei vivarium (digital health),['OK'],Nome padrão,Persei Vivarium Digital Health,OK
Index,['OK'],Nome padrão,Index,OK
Inetum,['OK'],Nome padrão,Inetum,OK
Recogizer,['OK'],Nome padrão,Recogizer,OK
ROBUR Industry Service Group GmbH,['OK'],Com sufixo corporativo,ROBUR Industry Service Group,OK
COD4IS,"['Contém números', 'Tudo maiúsculo']",Nome padrão,COD4IS,Tudo maiúsculo
FlexVPC S.L,['OK'],Nome padrão,Flexvpc SL,OK
EMB,['Tudo maiúsculo'],Muito curto,EMB,Tudo maiúsculo
FirstBaseIT Limited,['OK'],Nome padrão,Firstbaseit Limited,OK
TQ-Group,['OK'],Contém siglas,Tq-Group,OK
ParentPay Ltd,['OK'],Com sufixo corporativo,Parentpay,OK
Vizor,['OK'],Nome padrão,Vizor,OK
Grupo Hostienda,['OK'],Nome padrão,Grupo Hostienda,OK
VAZY,['Tudo maiúsculo'],Muito curto,VAZY,Tudo maiúsculo
CWS Cleanrooms,['OK'],Contém siglas,CWS Cleanrooms,OK
Index,['OK'],Nome padrão,Index,OK
Getform,['OK'],Nome padrão,Getform,OK
BrowserStack,['OK'],Nome padrão,Browserstack,OK
Lindera,['OK'],Nome padrão,Lindera,OK
Landytech,['OK'],Nome padrão,Landytech,OK
Mercedes-Benz.io,['OK'],Nome padrão,Mercedes-BenzIo,OK
Mercedes-Benz.io,['OK'],Nome padrão,Mercedes-BenzIo,OK
Coadjute,['OK'],Nome padrão,Coadjute,OK
"Quadralia, S.L.",['OK'],Nome padrão,Quadralia SL,OK
Pure Data Centres Group,['OK'],Nome padrão,Pure Data Centres Group,OK
Axiodis,['OK'],Nome padrão,Axiodis,OK
Opérationnelle,['OK'],Nome padrão,Opérationnelle,OK
OctopusMind,['OK'],Nome padrão,Octopusmind,OK
Gireve,['OK'],Nome padrão,Gireve,OK
Ableton,['OK'],Nome padrão,Ableton,OK
