Nome da empresa,Problemas_Empresa,Tipo_Nome_Empresa,Empresa_Padronizada,Qualidade_Padronizada
Flight Register,['OK'],Nome padrão,Flight Register,OK
Flight Register,['OK'],Nome padrão,Flight Register,OK
Accenture,['OK'],Nome padrão,Accenture,OK
Allianz Technology,['OK'],Nome padrão,Allianz Technology,OK
Allianz Technology,['OK'],Nome padrão,Allianz Technology,OK
"A*STAR - Agency for Science, Technology and Research",['Caracteres especiais'],Contém siglas,ASTAR - Agency For Science Technology And Research,OK
Talan,['OK'],Nome padrão,Talan,OK
Talan,['OK'],Nome padrão,Talan,OK
Talan,['OK'],Nome padrão,Talan,OK
Between Technology,['OK'],Nome padrão,Between Technology,OK
Binect GmbH,['OK'],Com sufixo corporativo,Binect,OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
Active Matter XR,['OK'],Contém siglas,Active Matter Xr,OK
Born,['OK'],Muito curto,Born,OK
Amazon,['OK'],Nome padrão,Amazon,OK
Yoti,['OK'],Muito curto,Yoti,OK
Yoti,['OK'],Muito curto,Yoti,OK
Yoti,['OK'],Muito curto,Yoti,OK
Yoti Ltd,['OK'],Com sufixo corporativo,Yoti,OK
ypsilon.net ag,['Tudo minúsculo'],Nome padrão,YpsilonNet Ag,OK
ypsilon.net ag,['Tudo minúsculo'],Nome padrão,YpsilonNet Ag,OK
Blowww 4 Analytics,['Contém números'],Nome padrão,Blowww 4 Analytics,Contém números
vente-privee devient Veepee,['OK'],Nome padrão,Vente-Privee Devient Veepee,OK
vente-privee,['Tudo minúsculo'],Nome padrão,Vente-Privee,OK
ClinInfo,['OK'],Nome padrão,Clininfo,OK
Magnétis 📞📈,['Caracteres especiais'],Nome padrão,Magnétis,OK
Personio,['OK'],Nome padrão,Personio,OK
Viessmann Research & Development Center,['OK'],Nome padrão,Viessmann Research & Development Center,OK
encoway GmbH,['OK'],Com sufixo corporativo,Encoway,OK
encoway GmbH,['OK'],Com sufixo corporativo,Encoway,OK
DAVASO – an IQVIA business,['Caracteres especiais'],Contém siglas,DAVASO An IQVIA Business,OK
DAVASO – an IQVIA business,['Caracteres especiais'],Contém siglas,DAVASO An IQVIA Business,OK
Simoco,['OK'],Nome padrão,Simoco,OK
IT-HAUS GmbH,['OK'],Com sufixo corporativo,IT-HAUS,Tudo maiúsculo
Thinkproject,['OK'],Nome padrão,Thinkproject,OK
Scilife,['OK'],Nome padrão,Scilife,OK
Scilife,['OK'],Nome padrão,Scilife,OK
Analitza,['OK'],Nome padrão,Analitza,OK
SDX AG,['Tudo maiúsculo'],Com sufixo corporativo,SDX,Tudo maiúsculo
ITEA HIGH TECHNOLOGY,['Tudo maiúsculo'],Contém siglas,ITEA HIGH TECHNOLOGY,Tudo maiúsculo
AUTOMATISMOS ITEA SL,['Tudo maiúsculo'],Com sufixo corporativo,AUTOMATISMOS ITEA,Tudo maiúsculo
Code Red.,['OK'],Nome padrão,Code Red,OK
UNCAPPED,['Tudo maiúsculo'],Contém siglas,UNCAPPED,Tudo maiúsculo
E-bx Consulting LLP,['OK'],Contém siglas,E-Bxnsulting LLP,OK
Sdui,['OK'],Muito curto,Sdui,OK
