Cargo,Cargo_Area,Cargo_Nivel_Hierarquico,Cargo_ID
Expert Business Intelligence,Dados,Outros,CAR110
Manager-Compliance,Outras,Gerência,CAR111
Head of People Operations,Operações,C-Level/Diretoria,CAR112
Internal Support Team Lead,Outras,Gerência,CAR113
CTO / Chief Technology officer,TI,C-Level/Diretoria,CAR114
Security Consultant,TI,Consultoria,CAR115
Senior Game Developer,TI,Outros,CAR116
Techlead Et Architecte Infrastructure/Spécialiste Nutanix,TI,Gerência,CAR117
Senior Consultant,Outras,Consultoria,CAR118
Director De Seguridad E Infraestructuras,Outras,C-Level/Diretoria,CAR119
Développeur Web,Outras,Outros,CAR120
Outputs Quality Analyst,TI,Analista/Júnior,CAR121
Product Analyst and Transaltor,Produto,Analista/Júnior,CAR122
Comptable,Outras,Outros,CAR123
IT Infrastructure Lead,TI,Gerência,CAR124
Project Management officer,Outras,Outros,CAR125
Compliance Manager,Operações,Gerência,CAR126
Teamleader Software Development & Quality,TI,Gerência,CAR127
Senior Data Engineer,TI,Outros,CAR128
Freelance,Outras,Outros,CAR129
Software Engineering Manager,TI,Gerência,CAR130
Deputy Technology Director,TI,C-Level/Diretoria,CAR131
Chapter Lead,Outras,Gerência,CAR132
Chief Data officer,TI,C-Level/Diretoria,CAR133
Responsable De Desarrollo De Negocio - Sector Público,Outras,C-Level/Diretoria,CAR134
IT-Sicherheitsbeauftragter,TI,Outros,CAR135
Compliance Team Lead,Outras,Gerência,CAR136
Founding Engineer,TI,Outros,CAR137
Stellvertretender Iso (Information Security officer),TI,Outros,CAR138
CTO & Co-Founder,Outras,C-Level/Diretoria,CAR139
Change Ambassador,Outras,Outros,CAR140
Head of Mes Support,Outras,C-Level/Diretoria,CAR141
Data-Manager,TI,Gerência,CAR142
Director of IT,TI,C-Level/Diretoria,CAR143
IT Director,TI,C-Level/Diretoria,CAR144
CIO,Outras,C-Level/Diretoria,CAR145
Head of Innovation,Outras,C-Level/Diretoria,CAR146
Ict Service Support Manager,Outras,Gerência,CAR147
Compliance Communication Supervisor,Outras,Gerência,CAR148
Privacy and Compliance Consultant,Outras,Consultoria,CAR149
Data Protection Supervisor At Icm Uw,TI,Gerência,CAR150
IT Chief Specialist,TI,C-Level/Diretoria,CAR151
Autoentrepreneur,Outras,Outros,CAR152
Information Technology Development Manager,TI,Gerência,CAR153
Senior IT Administrator,TI,Outros,CAR154
Chief Operations officer,Operações,C-Level/Diretoria,CAR155
Coo Adalberto,Outras,Outros,CAR156
Portfolio Advisor,Outras,Consultoria,CAR157
Vp Europe,Outras,Outros,CAR158
Co-Founder,Outras,Outros,CAR159
Vice President Marketing,Marketing,Outros,CAR160
Managing Director (Gm) North America & Global Head of Marketing,Marketing,C-Level/Diretoria,CAR161
Digital Chief Operating officer,TI,C-Level/Diretoria,CAR162
Founder and CEO,Outras,C-Level/Diretoria,CAR163
Key Account Manager,Comercial,Gerência,CAR164
