Empresa - redes sociais,URL_Redes_Sociais_Padronizada,ID_Company_LinkedIn,Tipo_Rede_Social
https://www.linkedin.com/company/99837508,https://www.linkedin.com/company/99837508,99837508,LinkedIn
https://www.linkedin.com/company/2940832,https://www.linkedin.com/company/2940832,2940832,LinkedIn
https://www.linkedin.com/company/100090736,https://www.linkedin.com/company/100090736,100090736,LinkedIn
https://www.linkedin.com/company/94111887,https://www.linkedin.com/company/94111887,94111887,LinkedIn
https://www.linkedin.com/company/1318599,https://www.linkedin.com/company/1318599,1318599,LinkedIn
https://www.linkedin.com/company/14716,https://www.linkedin.com/company/14716,14716,LinkedIn
https://www.linkedin.com/company/406074,https://www.linkedin.com/company/406074,406074,LinkedIn
https://www.linkedin.com/company/406074,https://www.linkedin.com/company/406074,406074,LinkedIn
https://www.linkedin.com/company/406074,https://www.linkedin.com/company/406074,406074,LinkedIn
https://www.linkedin.com/company/406074,https://www.linkedin.com/company/406074,406074,LinkedIn
https://www.linkedin.com/company/406074,https://www.linkedin.com/company/406074,406074,LinkedIn
https://www.linkedin.com/company/15214232,https://www.linkedin.com/company/15214232,15214232,LinkedIn
https://www.linkedin.com/company/15214232,https://www.linkedin.com/company/15214232,15214232,LinkedIn
https://www.linkedin.com/company/494890,https://www.linkedin.com/company/494890,494890,LinkedIn
https://www.linkedin.com/company/65369956,https://www.linkedin.com/company/65369956,65369956,LinkedIn
https://www.linkedin.com/company/65369956,https://www.linkedin.com/company/65369956,65369956,LinkedIn
https://www.linkedin.com/company/74049244,https://www.linkedin.com/company/74049244,74049244,LinkedIn
https://www.linkedin.com/company/74049244,https://www.linkedin.com/company/74049244,74049244,LinkedIn
https://www.linkedin.com/company/1033,https://www.linkedin.com/company/1033,1033,LinkedIn
https://www.linkedin.com/company/3964931,https://www.linkedin.com/company/3964931,3964931,LinkedIn
https://www.linkedin.com/company/3964931,https://www.linkedin.com/company/3964931,3964931,LinkedIn
https://www.linkedin.com/company/164324,https://www.linkedin.com/company/164324,164324,LinkedIn
https://www.linkedin.com/company/28542,https://www.linkedin.com/company/28542,28542,LinkedIn
https://www.linkedin.com/company/28542,https://www.linkedin.com/company/28542,28542,LinkedIn
https://www.linkedin.com/company/28542,https://www.linkedin.com/company/28542,28542,LinkedIn
https://www.linkedin.com/company/155025,https://www.linkedin.com/company/155025,155025,LinkedIn
https://www.linkedin.com/company/18314056,https://www.linkedin.com/company/18314056,18314056,LinkedIn
https://www.linkedin.com/company/451028,https://www.linkedin.com/company/451028,451028,LinkedIn
https://www.linkedin.com/company/101139290,https://www.linkedin.com/company/101139290,101139290,LinkedIn
https://www.linkedin.com/company/80564446,https://www.linkedin.com/company/80564446,80564446,LinkedIn
https://www.linkedin.com/company/1586,https://www.linkedin.com/company/1586,1586,LinkedIn
https://www.linkedin.com/company/9428931,https://www.linkedin.com/company/9428931,9428931,LinkedIn
https://www.linkedin.com/company/9428931,https://www.linkedin.com/company/9428931,9428931,LinkedIn
https://www.linkedin.com/company/9428931,https://www.linkedin.com/company/9428931,9428931,LinkedIn
https://www.linkedin.com/company/9428931,https://www.linkedin.com/company/9428931,9428931,LinkedIn
https://www.linkedin.com/company/4858075,https://www.linkedin.com/company/4858075,4858075,LinkedIn
https://www.linkedin.com/company/4858075,https://www.linkedin.com/company/4858075,4858075,LinkedIn
https://www.linkedin.com/company/76873919,https://www.linkedin.com/company/76873919,76873919,LinkedIn
https://www.linkedin.com/company/639063,https://www.linkedin.com/company/639063,639063,LinkedIn
https://www.linkedin.com/company/639063,https://www.linkedin.com/company/639063,639063,LinkedIn
https://www.linkedin.com/company/1649956,https://www.linkedin.com/company/1649956,1649956,LinkedIn
https://www.linkedin.com/company/5185836,https://www.linkedin.com/company/5185836,5185836,LinkedIn
https://www.linkedin.com/company/10180448,https://www.linkedin.com/company/10180448,10180448,LinkedIn
https://www.linkedin.com/company/18727692,https://www.linkedin.com/company/18727692,18727692,LinkedIn
https://www.linkedin.com/company/872550,https://www.linkedin.com/company/872550,872550,LinkedIn
https://www.linkedin.com/company/872550,https://www.linkedin.com/company/872550,872550,LinkedIn
https://www.linkedin.com/company/35940073,https://www.linkedin.com/company/35940073,35940073,LinkedIn
https://www.linkedin.com/company/35940073,https://www.linkedin.com/company/35940073,35940073,LinkedIn
https://www.linkedin.com/company/148472,https://www.linkedin.com/company/148472,148472,LinkedIn
https://www.linkedin.com/company/3853028,https://www.linkedin.com/company/3853028,3853028,LinkedIn
https://www.linkedin.com/company/1383984,https://www.linkedin.com/company/1383984,1383984,LinkedIn
https://www.linkedin.com/company/41053928,https://www.linkedin.com/company/41053928,41053928,LinkedIn
https://www.linkedin.com/company/41053928,https://www.linkedin.com/company/41053928,41053928,LinkedIn
https://www.linkedin.com/company/18078664,https://www.linkedin.com/company/18078664,18078664,LinkedIn
https://www.linkedin.com/company/950380,https://www.linkedin.com/company/950380,950380,LinkedIn
https://www.linkedin.com/company/40214385,https://www.linkedin.com/company/40214385,40214385,LinkedIn
https://www.linkedin.com/company/40214385,https://www.linkedin.com/company/40214385,40214385,LinkedIn
https://www.linkedin.com/company/70096450,https://www.linkedin.com/company/70096450,70096450,LinkedIn
https://www.linkedin.com/company/22734744,https://www.linkedin.com/company/22734744,22734744,LinkedIn
https://www.linkedin.com/company/20645121,https://www.linkedin.com/company/20645121,20645121,LinkedIn
https://www.linkedin.com/company/18115269,https://www.linkedin.com/company/18115269,18115269,LinkedIn
https://www.linkedin.com/company/568605,https://www.linkedin.com/company/568605,568605,LinkedIn
https://www.linkedin.com/company/2756304,https://www.linkedin.com/company/2756304,2756304,LinkedIn
https://www.linkedin.com/company/103422673,https://www.linkedin.com/company/103422673,103422673,LinkedIn
https://www.linkedin.com/company/23394,https://www.linkedin.com/company/23394,23394,LinkedIn
https://www.linkedin.com/company/2465473,https://www.linkedin.com/company/2465473,2465473,LinkedIn
https://www.linkedin.com/company/2465473,https://www.linkedin.com/company/2465473,2465473,LinkedIn
https://www.linkedin.com/company/18717,https://www.linkedin.com/company/18717,18717,LinkedIn
https://www.linkedin.com/company/34080,https://www.linkedin.com/company/34080,34080,LinkedIn
https://www.linkedin.com/company/34080,https://www.linkedin.com/company/34080,34080,LinkedIn
https://www.linkedin.com/company/74950950,https://www.linkedin.com/company/74950950,74950950,LinkedIn
https://www.linkedin.com/company/34080,https://www.linkedin.com/company/34080,34080,LinkedIn
https://www.linkedin.com/company/34080,https://www.linkedin.com/company/34080,34080,LinkedIn
https://www.linkedin.com/company/11190643,https://www.linkedin.com/company/11190643,11190643,LinkedIn
https://www.linkedin.com/company/475065,https://www.linkedin.com/company/475065,475065,LinkedIn
https://www.linkedin.com/company/69846008,https://www.linkedin.com/company/69846008,69846008,LinkedIn
https://www.linkedin.com/company/15248166,https://www.linkedin.com/company/15248166,15248166,LinkedIn
https://www.linkedin.com/company/10988116,https://www.linkedin.com/company/10988116,10988116,LinkedIn
https://www.linkedin.com/company/4230,https://www.linkedin.com/company/4230,4230,LinkedIn
https://www.linkedin.com/company/755604,https://www.linkedin.com/company/755604,755604,LinkedIn
https://www.linkedin.com/company/9333195,https://www.linkedin.com/company/9333195,9333195,LinkedIn
https://www.linkedin.com/company/2868882,https://www.linkedin.com/company/2868882,2868882,LinkedIn
https://www.linkedin.com/company/8911376,https://www.linkedin.com/company/8911376,8911376,LinkedIn
https://www.linkedin.com/company/66238740,https://www.linkedin.com/company/66238740,66238740,LinkedIn
https://www.linkedin.com/company/66238740,https://www.linkedin.com/company/66238740,66238740,LinkedIn
https://www.linkedin.com/company/690447,https://www.linkedin.com/company/690447,690447,LinkedIn
https://www.linkedin.com/company/690447,https://www.linkedin.com/company/690447,690447,LinkedIn
https://www.linkedin.com/company/690447,https://www.linkedin.com/company/690447,690447,LinkedIn
https://www.linkedin.com/company/645607,https://www.linkedin.com/company/645607,645607,LinkedIn
https://www.linkedin.com/company/19071985,https://www.linkedin.com/company/19071985,19071985,LinkedIn
https://www.linkedin.com/company/535268,https://www.linkedin.com/company/535268,535268,LinkedIn
https://www.linkedin.com/company/25413476,https://www.linkedin.com/company/25413476,25413476,LinkedIn
https://www.linkedin.com/company/76536084,https://www.linkedin.com/company/76536084,76536084,LinkedIn
https://www.linkedin.com/company/2149497,https://www.linkedin.com/company/2149497,2149497,LinkedIn
https://www.linkedin.com/company/33186321,https://www.linkedin.com/company/33186321,33186321,LinkedIn
https://www.linkedin.com/company/33186321,https://www.linkedin.com/company/33186321,33186321,LinkedIn
https://www.linkedin.com/company/33186321,https://www.linkedin.com/company/33186321,33186321,LinkedIn
https://www.linkedin.com/company/237711,https://www.linkedin.com/company/237711,237711,LinkedIn
https://www.linkedin.com/company/27154866,https://www.linkedin.com/company/27154866,27154866,LinkedIn
https://www.linkedin.com/company/27154866,https://www.linkedin.com/company/27154866,27154866,LinkedIn
https://www.linkedin.com/company/19100412,https://www.linkedin.com/company/19100412,19100412,LinkedIn
https://www.linkedin.com/company/19100412,https://www.linkedin.com/company/19100412,19100412,LinkedIn
https://www.linkedin.com/company/67124661,https://www.linkedin.com/company/67124661,67124661,LinkedIn
https://www.linkedin.com/company/2284922,https://www.linkedin.com/company/2284922,2284922,LinkedIn
https://www.linkedin.com/company/2284922,https://www.linkedin.com/company/2284922,2284922,LinkedIn
https://www.linkedin.com/company/14020678,https://www.linkedin.com/company/14020678,14020678,LinkedIn
https://www.linkedin.com/company/11434282,https://www.linkedin.com/company/11434282,11434282,LinkedIn
https://www.linkedin.com/company/77677498,https://www.linkedin.com/company/77677498,77677498,LinkedIn
https://www.linkedin.com/company/1662,https://www.linkedin.com/company/1662,1662,LinkedIn
https://www.linkedin.com/company/1044,https://www.linkedin.com/company/1044,1044,LinkedIn
https://www.linkedin.com/company/67760135,https://www.linkedin.com/company/67760135,67760135,LinkedIn
https://www.linkedin.com/company/35579464,https://www.linkedin.com/company/35579464,35579464,LinkedIn
https://www.linkedin.com/company/6408028,https://www.linkedin.com/company/6408028,6408028,LinkedIn
https://www.linkedin.com/company/5069801,https://www.linkedin.com/company/5069801,5069801,LinkedIn
https://www.linkedin.com/company/6181840,https://www.linkedin.com/company/6181840,6181840,LinkedIn
https://www.linkedin.com/company/93081668,https://www.linkedin.com/company/93081668,93081668,LinkedIn
https://www.linkedin.com/company/243612,https://www.linkedin.com/company/243612,243612,LinkedIn
https://www.linkedin.com/company/28513290,https://www.linkedin.com/company/28513290,28513290,LinkedIn
https://www.linkedin.com/company/3338576,https://www.linkedin.com/company/3338576,3338576,LinkedIn
https://www.linkedin.com/company/10205981,https://www.linkedin.com/company/10205981,10205981,LinkedIn
https://www.linkedin.com/company/10205981,https://www.linkedin.com/company/10205981,10205981,LinkedIn
https://www.linkedin.com/company/54375,https://www.linkedin.com/company/54375,54375,LinkedIn
https://www.linkedin.com/company/1062185,https://www.linkedin.com/company/1062185,1062185,LinkedIn
